p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,128,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,0.8933863132366304,0.4231606819473132,0.5825530533656726,fftw,-101.34,22.09367179870605,theta-knl,256,256,64,False,2,4
float,128,-reorder, , ,-pencils,-r2c_dir 0,0.9849162739497476,0.3691625825606029,0.5330419180048521,fftw,-115.325,22.168933629989624,theta-knl,256,256,64,False,4,4
float,128,-reorder, , ,-slabs,-r2c_dir 1,0.888955520069893,0.6679998253762174,0.93767044124885,fftw,-36.9353,22.231470823287964,theta-knl,256,256,64,False,5,4
float,128,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.9153015653421248,0.7527084966996369,0.3829819344900727,fftw,-87.6146,22.24706220626831,theta-knl,256,256,64,False,3,4
float,128,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,0.6039231813836456,0.2633108263006575,0.3877791252613467,fftw,-85.6413,28.24418330192566,theta-knl,256,256,64,False,4,4
double,128,-no-reorder,-a2av, ,-pencils,-r2c_dir 0,0.8866844664282786,0.3914308047792242,0.2352917856588074,fftw,-56.7615,28.398905754089355,theta-knl,256,256,64,False,2,4
float,128,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.5901574382189464,0.5846419741207305,0.1756311388431921,fftw,-72.8803,28.425694465637207,theta-knl,256,256,64,False,3,4
float,128,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.8839606724562543,0.5113588553022403,0.3520600523661868,fftw,-75.3004,28.5211820602417,theta-knl,256,256,64,False,5,4
float,128,-reorder, ,-p2p,-pencils,-r2c_dir 1,0.8950832269592202,0.8305061465173511,0.4939246154885667,fftw,-84.7579,34.41087102890015,theta-knl,256,256,64,False,4,4
float,128,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.5254503312344454,0.3942552783690302,0.0553397135831509,fftw,-72.9263,34.54466962814331,theta-knl,256,256,64,False,3,4
float,128,-reorder,-a2av, ,-slabs,-r2c_dir 0,0.9982084277741544,0.277380848219438,0.8515473360241586,fftw,-33.7379,34.87987780570984,theta-knl,256,256,64,False,5,4
float,128,-no-reorder, ,-p2p_pl,-slabs,-r2c_dir 0,0.9478644815110776,0.2745060919504762,0.3803464637264505,fftw,-21.6685,35.20998692512512,theta-knl,256,256,64,False,2,4
float,128,-reorder,-a2a, ,-pencils,-r2c_dir 0,0.7506767033883721,0.6827155721331604,0.0123518415517849,fftw,-13.5523,40.8239266872406,theta-knl,256,256,64,False,3,4
float,128,-no-reorder, ,-p2p_pl,-slabs,-r2c_dir 1,0.1305535833595136,0.5113579281839051,0.0042632945754168,fftw,-12.328,41.23399877548218,theta-knl,256,256,64,False,4,4
double,128,-reorder, ,-p2p,-pencils,-r2c_dir 0,0.9775823137075392,0.654543890472669,0.5965544904156792,fftw,-45.4051,41.31866526603699,theta-knl,256,256,64,False,5,4
double,128,-reorder,-a2a, ,-pencils,-r2c_dir 0,0.8894652731757723,0.1886800441331258,0.1537197660644925,fftw,-53.5834,41.45724320411682,theta-knl,256,256,64,False,2,4
double,128,-reorder,-a2a,-p2p,-pencils,-r2c_dir 0,0.8457788647236866,0.5100666652020354,0.1814080110753165,fftw,-45.9125,47.15266036987305,theta-knl,256,256,64,False,3,4
float,128,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,0.758190729338068,0.3837286625463355,0.3790385449646033,fftw,-89.944,47.38719272613525,theta-knl,256,256,64,False,4,4
float,128,-reorder,-a2a,-p2p,-pencils,-r2c_dir 0,0.7219941874791365,0.8941927251253503,0.3709940187737976,fftw,-69.8721,47.53036308288574,theta-knl,256,256,64,False,5,4
float,128,-reorder, ,-p2p_pl,-pencils,-r2c_dir 2,0.988409950354962,0.1616204105611353,0.2748459174548511,fftw,-75.3213,47.66125798225403,theta-knl,256,256,64,False,2,4
float,128,-no-reorder,-a2a,-p2p,-pencils,-r2c_dir 2,0.981332418864675,0.3748439191626996,0.5545967080306451,fftw,-71.3065,53.301966190338135,theta-knl,256,256,64,False,3,4
float,128,-reorder,-a2av, ,-slabs,-r2c_dir 0,0.9922344753281036,0.2775765505332245,0.0837848858966232,fftw,-33.5223,53.60190486907959,theta-knl,256,256,64,False,4,4
float,128,-reorder,-a2av, ,-pencils,-r2c_dir 0,0.992172756780094,0.5421674181207814,0.6031014865909758,fftw,-85.7009,53.84033417701721,theta-knl,256,256,64,False,2,4
float,128,-reorder,-a2a, ,-pencils,-r2c_dir 0,0.8724189606983185,0.396556010952252,0.828030077624978,fftw,-14.4595,53.9045774936676,theta-knl,256,256,64,False,5,4
float,128,-reorder, , ,-pencils,-r2c_dir 2,0.3349138436537666,0.2828486847703615,0.3099913559604824,fftw,-53.4105,59.55359745025635,theta-knl,256,256,64,False,3,4
float,128,-no-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,0.4252838251042907,0.5887881699443447,0.4738385727810679,fftw,-44.9088,59.843377113342285,theta-knl,256,256,64,False,4,4
